name,level,valid_from,valid_to,issued
Afghanistan,4,2018-03-01,,2018-01-10
Albania,1,2018-03-01,2019-06-01,2018-01-10
Albania,2,2019-07-01,2019-07-01,2019-06-27
Albania,1,2019-08-01,2020-08-01,2019-07-10
Albania,3,2020-09-01,2021-04-01,2020-08-06
Albania,4,2021-05-01,2021-06-01,2021-04-20
Albania,2,2021-07-01,2021-08-01,2021-06-16
Albania,3,2021-09-01,2021-09-01,2021-08-23
Albania,4,2021-10-01,2021-12-01,2021-09-13
Albania,3,2022-01-01,2022-01-01,2021-12-20
Albania,4,2022-02-01,2022-03-01,2022-01-18
Albania,3,2022-04-01,2022-04-01,2022-03-21
Albania,2,2022-05-01,,2022-04-19
Algeria,2,2018-03-01,2020-08-01,2018-01-10
Algeria,3,2020-09-01,2021-04-01,2020-08-06
Algeria,4,2021-05-01,2022-04-01,2021-04-20
Algeria,2,2022-05-01,,2022-04-18
Andorra,1,2018-03-01,2020-08-01,2018-01-10
Andorra,3,2020-09-01,2021-04-01,2020-08-06
Andorra,4,2021-05-01,2021-06-01,2021-04-20
Andorra,3,2021-07-01,2021-08-01,2021-06-16
Andorra,4,2021-09-01,2021-09-01,2021-08-02
Andorra,3,2021-10-01,2021-12-01,2021-09-21
Andorra,4,2022-01-01,2022-04-01,2021-12-06
Andorra,1,2022-05-01,,2022-04-19
Angola,1,2018-03-01,2020-08-01,2018-01-10
Angola,3,2020-09-01,2021-06-01,2020-08-06
Angola,2,2021-07-01,2021-10-01,2021-06-16
Angola,3,2021-11-01,2022-03-01,2021-10-18
Angola,1,2022-04-01,2023-07-01,2022-03-14
Angola,2,2023-08-01,,2023-07-24
Anguilla,2,2018-03-01,2018-04-01,2018-01-18
Anguilla,1,2018-05-01,2020-08-01,2018-04-10
Anguilla,3,2020-09-01,2021-07-01,2020-08-17
Anguilla,1,2021-08-01,2021-09-01,2021-07-07
Anguilla,3,2021-10-01,2022-01-01,2021-09-07
Anguilla,4,2022-02-01,2022-03-01,2022-01-31
Anguilla,3,2022-04-01,2022-04-01,2022-03-07
Anguilla,1,2022-05-01,,2022-04-18
Antarctica,2,2018-03-01,2021-04-01,2018-01-10
Antarctica,4,2021-05-01,2022-04-01,2021-04-20
Antarctica,2,2022-05-01,,2022-04-18
Antigua and Barbuda,1,2018-03-01,2020-08-01,2018-01-10
Antigua and Barbuda,3,2020-09-01,2021-04-01,2020-08-06
Antigua and Barbuda,4,2021-05-01,2021-05-01,2021-04-20
Antigua and Barbuda,3,2021-06-01,2021-06-01,2021-05-24
Antigua and Barbuda,1,2021-07-01,2021-08-01,2021-06-16
Antigua and Barbuda,2,2021-09-01,2021-09-01,2021-08-16
Antigua and Barbuda,4,2021-10-01,2022-04-01,2021-09-21
Antigua and Barbuda,1,2022-05-01,,2022-05-02
Argentina,1,2018-03-01,2018-11-01,2018-01-10
Argentina,2,2018-12-01,2018-12-01,2018-11-20
Argentina,1,2019-01-01,2020-08-01,2018-12-03
Argentina,4,2020-09-01,2021-10-01,2020-08-06
Argentina,3,2021-11-01,2021-11-01,2021-10-04
Argentina,2,2021-12-01,2021-12-01,2021-11-30
Argentina,3,2022-01-01,2022-01-01,2021-12-28
Argentina,4,2022-02-01,2022-04-01,2022-01-18
Argentina,1,2022-05-01,,2022-04-18
Armenia,1,2018-03-01,2020-08-01,2018-01-10
Armenia,3,2020-09-01,2021-04-01,2020-08-17
Armenia,4,2021-05-01,2021-06-01,2021-04-22
Armenia,3,2021-07-01,2021-10-01,2021-06-16
Armenia,4,2021-11-01,2022-01-01,2021-10-04
Armenia,3,2022-02-01,2022-02-01,2022-01-10
Armenia,4,2022-03-01,2022-04-01,2022-02-07
Armenia,1,2022-05-01,2022-11-01,2022-04-25
Armenia,2,2022-12-01,,2022-11-15
Aruba,1,2018-03-01,2020-08-01,2018-01-10
Aruba,3,2020-09-01,2021-04-01,2020-08-06
Aruba,4,2021-05-01,2021-06-01,2021-04-20
Aruba,3,2021-07-01,2021-08-01,2021-06-16
Aruba,4,2021-09-01,2021-11-01,2021-08-09
Aruba,3,2021-12-01,2022-01-01,2021-11-22
Aruba,4,2022-02-01,2022-04-01,2022-01-04
Aruba,1,2022-05-01,,2022-04-18
Australia,1,2018-03-01,2020-08-01,2018-01-10
Australia,3,2020-09-01,2020-11-01,2020-08-06
Australia,2,2020-12-01,2021-04-01,2020-11-23
Australia,3,2021-05-01,2022-01-01,2021-04-21
Australia,4,2022-02-01,2022-04-01,2022-01-18
Australia,1,2022-05-01,,2022-04-18
Austria,1,2018-03-01,2020-08-01,2018-01-10
Austria,3,2020-09-01,2021-04-01,2020-08-06
Austria,4,2021-05-01,2021-06-01,2021-04-20
Austria,3,2021-07-01,2021-07-01,2021-06-16
Austria,2,2021-08-01,2021-08-01,2021-07-12
Austria,3,2021-09-01,2021-10-01,2021-08-09
Austria,4,2021-11-01,2022-04-01,2021-10-04
Austria,1,2022-05-01,,2022-04-19
Azerbaijan,2,2018-03-01,2020-03-01,2018-01-10
Azerbaijan,3,2020-04-01,2021-04-01,2020-03-06
Azerbaijan,4,2021-05-01,2021-06-01,2021-04-22
Azerbaijan,3,2021-07-01,2021-08-01,2021-06-16
Azerbaijan,4,2021-09-01,2022-01-01,2021-08-30
Azerbaijan,3,2022-02-01,2022-02-01,2022-01-04
Azerbaijan,4,2022-03-01,2022-04-01,2022-02-14
Azerbaijan,3,2022-05-01,2022-11-01,2022-04-25
Azerbaijan,2,2022-12-01,2026-03-01,2022-11-15
Azerbaijan,3,2026-04-01,,2026-03-12
Bahamas,2,2025-12-01,,2025-03-31
Bahrain,1,2018-03-01,2020-08-01,2018-01-10
Bahrain,3,2020-09-01,2021-04-01,2020-08-06
Bahrain,4,2021-05-01,2021-08-01,2021-04-20
Bahrain,3,2021-09-01,2021-12-01,2021-08-30
Bahrain,2,2022-01-01,2022-01-01,2021-12-06
Bahrain,4,2022-02-01,2022-04-01,2022-01-18
Bahrain,2,2022-05-01,2026-02-01,2022-04-20
Bahrain,3,2026-03-01,,2026-02-28
Bangladesh,2,2018-03-01,2020-08-01,2018-01-10
Bangladesh,4,2020-09-01,2020-09-01,2020-08-06
Bangladesh,3,2020-10-01,2021-04-01,2020-09-08
Bangladesh,4,2021-05-01,2021-09-01,2021-04-20
Bangladesh,3,2021-10-01,2021-10-01,2021-09-27
Bangladesh,2,2021-11-01,2022-02-01,2021-10-18
Bangladesh,3,2022-03-01,2022-03-01,2022-02-07
Bangladesh,2,2022-04-01,2024-07-01,2022-03-28
Bangladesh,4,2024-08-01,2024-09-01,2024-07-20
Bangladesh,3,2024-10-01,,2024-09-11
Barbados,1,2018-03-01,2020-08-01,2018-01-10
Barbados,3,2020-09-01,2020-11-01,2020-08-06
Barbados,2,2020-12-01,2021-01-01,2020-11-23
Barbados,3,2021-02-01,2021-04-01,2021-01-19
Barbados,4,2021-05-01,2021-05-01,2021-04-20
Barbados,3,2021-06-01,2021-06-01,2021-05-17
Barbados,2,2021-07-01,2021-08-01,2021-06-16
Barbados,3,2021-09-01,2021-10-01,2021-08-02
Barbados,4,2021-11-01,2022-04-01,2021-10-04
Barbados,1,2022-05-01,,2022-04-18
Belarus,1,2018-03-01,2020-08-01,2018-01-10
Belarus,3,2020-09-01,2021-04-01,2020-08-06
Belarus,4,2021-05-01,,2021-04-20
Belgium,2,2018-03-01,2020-08-01,2018-01-10
Belgium,3,2020-09-01,2021-04-01,2020-08-06
Belgium,4,2021-05-01,2021-07-01,2021-04-21
Belgium,3,2021-08-01,2021-11-01,2021-07-06
Belgium,4,2021-12-01,2022-04-01,2021-11-02
Belgium,2,2022-05-01,,2022-04-19
Belize,2,2018-03-01,2020-08-01,2018-01-10
Belize,4,2020-09-01,2020-10-01,2020-08-11
Belize,3,2020-11-01,2021-04-01,2020-10-05
Belize,2,2021-05-01,2021-07-01,2021-04-20
Belize,3,2021-08-01,2021-09-01,2021-07-19
Belize,4,2021-10-01,2022-04-01,2021-09-13
Belize,2,2022-05-01,,2022-04-18
Benin,1,2018-03-01,2020-08-01,2018-01-10
Benin,3,2020-09-01,2020-11-01,2020-08-06
Benin,2,2020-12-01,2021-02-01,2020-11-23
Benin,3,2021-03-01,2021-04-01,2021-03-01
Benin,2,2021-05-01,2021-09-01,2021-04-20
Benin,3,2021-10-01,2021-11-01,2021-09-07
Benin,2,2021-12-01,,2021-11-30
Bermuda,1,2018-03-01,2020-08-01,2018-01-10
Bermuda,3,2020-09-01,2020-10-01,2020-08-17
Bermuda,2,2020-11-01,2020-12-01,2020-10-26
Bermuda,3,2021-01-01,2021-03-01,2020-12-21
Bermuda,2,2021-04-01,2021-04-01,2021-03-16
Bermuda,4,2021-05-01,2021-06-01,2021-04-20
Bermuda,2,2021-07-01,2021-07-01,2021-06-16
Bermuda,1,2021-08-01,2021-08-01,2021-07-12
Bermuda,3,2021-09-01,2021-09-01,2021-08-30
Bermuda,4,2021-10-01,2021-11-01,2021-09-21
Bermuda,3,2021-12-01,2022-01-01,2021-11-30
Bermuda,4,2022-02-01,2022-04-01,2022-01-18
Bermuda,1,2022-05-01,,2022-04-19
Bhutan,1,2018-03-01,2020-08-01,2018-01-10
Bhutan,4,2020-09-01,2021-02-01,2020-08-06
Bhutan,3,2021-03-01,2021-04-01,2021-02-16
Bhutan,2,2021-05-01,2021-07-01,2021-04-26
Bhutan,4,2021-08-01,2021-10-01,2021-07-06
Bhutan,1,2021-11-01,2022-01-01,2021-10-18
Bhutan,3,2022-02-01,2022-02-01,2022-01-31
Bhutan,4,2022-03-01,2022-04-01,2022-02-22
Bhutan,1,2022-05-01,,2022-04-18
Bolivia,1,2018-03-01,2019-10-01,2018-01-10
Bolivia,2,2019-11-01,2019-11-01,2019-10-23
Bolivia,4,2019-12-01,2020-01-01,2019-11-12
Bolivia,2,2020-02-01,2020-03-01,2020-01-06
Bolivia,1,2020-04-01,2020-06-01,2018-01-10
Bolivia,2,2020-07-01,2020-08-01,2020-01-06
Bolivia,4,2020-09-01,2020-10-01,2020-08-06
Bolivia,3,2020-11-01,2021-02-01,2020-10-26
Bolivia,4,2021-03-01,2021-08-01,2021-02-01
Bolivia,3,2021-09-01,2021-10-01,2021-08-09
Bolivia,2,2021-11-01,2021-11-01,2021-10-18
Bolivia,3,2021-12-01,2022-01-01,2021-11-15
Bolivia,4,2022-02-01,2022-03-01,2022-01-18
Bolivia,3,2022-04-01,2022-04-01,2022-03-21
Bolivia,2,2022-05-01,,2022-04-19
Bonaire,3,2021-07-01,2021-07-01,2021-06-16
Bonaire,2,2021-08-01,2021-09-01,2021-07-06
Bonaire,3,2021-10-01,2021-12-01,2021-09-21
Bonaire,4,2022-01-01,2022-04-01,2021-12-20
Bonaire,1,2022-05-01,,2022-04-18
"Bonaire, Sint Eustatius and Saba",1,2018-07-01,2020-08-01,2018-01-10
"Bonaire, Sint Eustatius and Saba",3,2020-09-01,2021-04-01,2020-08-31
"Bonaire, Sint Eustatius and Saba",4,2021-05-01,2021-06-01,2021-04-21
"Bonaire, Sint Eustatius, and Saba",1,2025-09-01,,2024-08-19
"Bonaire, St. Eustatius, and Saba (BES)",1,2018-03-01,2018-06-01,2018-01-10
Bosnia and Herzegovina,2,2018-07-01,2020-08-01,2018-06-21
Bosnia and Herzegovina,3,2020-09-01,2021-04-01,2020-08-06
Bosnia and Herzegovina,4,2021-05-01,2021-06-01,2021-04-20
Bosnia and Herzegovina,3,2021-07-01,2021-07-01,2021-06-16
Bosnia and Herzegovina,2,2021-08-01,2021-08-01,2021-07-19
Bosnia and Herzegovina,3,2021-09-01,2021-10-01,2021-08-23
Bosnia and Herzegovina,4,2021-11-01,2022-03-01,2021-10-12
Bosnia and Herzegovina,3,2022-04-01,2022-04-01,2022-03-28
Bosnia and Herzegovina,2,2022-05-01,,2022-04-19
Bosnia-Herzegovina,2,2018-03-01,2018-06-01,2018-01-10
Botswana,1,2018-03-01,2020-08-01,2018-01-10
Botswana,3,2020-09-01,2021-02-01,2020-08-06
Botswana,4,2021-03-01,2021-06-01,2021-02-01
Botswana,3,2021-07-01,2021-07-01,2021-06-16
Botswana,4,2021-08-01,2022-03-01,2021-07-06
Botswana,3,2022-04-01,2022-04-01,2022-03-21
Botswana,1,2022-05-01,2024-02-01,2022-05-02
Botswana,2,2024-03-01,,2024-02-26
Brazil,2,2018-03-01,2020-08-01,2018-01-10
Brazil,4,2020-09-01,2021-09-01,2020-08-06
Brazil,3,2021-10-01,2022-01-01,2021-09-13
Brazil,4,2022-02-01,2022-04-01,2022-01-31
Brazil,2,2022-05-01,,2022-04-18
British Virgin Islands,3,2018-03-01,2018-04-01,2018-01-10
British Virgin Islands,1,2018-05-01,2020-08-01,2018-04-10
British Virgin Islands,3,2020-09-01,2021-06-01,2020-08-31
British Virgin Islands,2,2021-07-01,2021-07-01,2021-06-16
British Virgin Islands,4,2021-08-01,2021-11-01,2021-07-19
British Virgin Islands,1,2021-12-01,2022-01-01,2021-11-30
British Virgin Islands,4,2022-02-01,2022-03-01,2022-01-18
British Virgin Islands,3,2022-04-01,2022-04-01,2022-03-14
British Virgin Islands,1,2022-05-01,,2022-04-18
Brunei,1,2018-03-01,2020-08-01,2018-01-10
Brunei,2,2020-09-01,2021-04-01,2020-08-06
Brunei,3,2021-05-01,2021-09-01,2021-04-21
Brunei,4,2021-10-01,2022-01-01,2021-09-07
Brunei,3,2022-02-01,2022-05-01,2022-01-31
Brunei,1,2022-06-01,,2022-05-09
Bulgaria,1,2018-03-01,2020-08-01,2018-01-10
Bulgaria,3,2020-09-01,2021-04-01,2020-08-06
Bulgaria,4,2021-05-01,2021-06-01,2021-04-21
Bulgaria,3,2021-07-01,2021-07-01,2021-06-16
Bulgaria,1,2021-08-01,2021-08-01,2021-07-26
Bulgaria,3,2021-09-01,2021-09-01,2021-08-23
Bulgaria,4,2021-10-01,2022-04-01,2021-09-27
Bulgaria,1,2022-05-01,,2022-04-19
Burkina Faso,2,2018-03-01,2018-03-01,2018-01-10
Burkina Faso,3,2018-04-01,2019-11-01,2018-03-02
Burkina Faso,4,2019-12-01,,2019-11-26
Burma,1,2018-03-01,2018-06-01,2018-01-10
Burma (Myanmar),1,2018-07-01,2018-12-01,2018-06-13
Burma (Myanmar),2,2019-01-01,2020-08-01,2018-12-26
Burma (Myanmar),3,2020-09-01,2021-02-01,2020-08-06
Burma (Myanmar),4,2021-03-01,,2021-02-14
Burundi,3,2018-03-01,2020-08-01,2018-01-10
Burundi,4,2020-09-01,2020-12-01,2020-08-11
Burundi,3,2021-01-01,2021-04-01,2020-12-07
Burundi,4,2021-05-01,2021-05-01,2021-04-21
Burundi,3,2021-06-01,2021-07-01,2021-05-03
