country_name,ppp_2020,country_code
Afghanistan,19.12,AFG
Albania,42.41,ALB
Algeria,37.02,DZA
Angola,159.35,AGO
Anguilla,2.294516087,AIA
Antigua and Barbuda,2.07,ATG
Argentina,29.16,ARG
Armenia,156.71,ARM
Aruba,1.35,ABW
Australia,1.45,AUS
Austria,0.76,AUT
Azerbaijan,0.5,AZE
Bahamas,0.77,BHS
Bahrain,0.18,BHR
Bangladesh,32.37,BGD
Barbados,2.3,BRB
Belarus,0.77,BLR
Belgium,0.75,BEL
Belize,1.27,BLZ
Benin,211.99,BEN
Bermuda,1.32,BMU
Bhutan,19.98,BTN
Bolivia,2.62,BOL
Bosnia and Herzegovina,0.67,BIH
Botswana,4.75,BWA
Brazil,2.36,BRA
Brunei Darussalam,0.58,BRN
Bulgaria,0.7,BGR
Burkina Faso,217.15,BFA
Burundi,680.45,BDI
Cabo Verde,46.51,CPV
Cambodia,1428.91,KHM
Cameroon,228.76,CMR
Canada,1.25,CAN
Cayman Islands,0.99,CYM
Central African Republic,287.19,CAF
Chad,236.82,TCD
Chile,417.72,CHL
China,4.18,CHN
Colombia,1320.1,COL
Comoros,194.06,COM
"Congo, the Democratic Republic of the",881.85,COD
Congo,293.35,COG
Costa Rica,320.85,CRI
Cote d`Ivoire,244.93,CIV
Croatia,3.24,HRV
Curacao,1.4,CUW
Cyprus,0.61,CYP
Czech Republic,12.79,CZE
Denmark,6.63,DNK
Djibouti,105.29,DJI
Dominica,1.74,DMA
Dominican Republic,22.91,DOM
Ecuador,0.51,ECU
Egypt,4.54,EGY
El Salvador,0.45,SLV
Equatorial Guinea,229.18,GNQ
Eritrea,5.47,ERI
Estonia,0.54,EST
Eswatini,6.36,SWZ
Ethiopia,12.11,ETH
Fiji,0.91,FJI
Finland,0.84,FIN
France,0.73,FRA
Gabon,262.21,GAB
Gambia,17.5,GMB
Georgia,0.9,GEO
Germany,0.74,DEU
Ghana,2.15,GHA
Greece,0.55,GRC
Grenada,1.64,GRD
Guatemala,4.01,GTM
Guinea,4053.88,GIN
Guinea-Bissau,214.88,GNB
Guyana,73.6,GUY
Haiti,41.08,HTI
Honduras,10.91,HND
"Hong Kong SAR, China",6.07,HKG
Hungary,148.8,HUN
Iceland,149.69,ISL
India,22,IND
Indonesia,4673.93,IDN
"Iran, Islamic Republic of",31317.28,IRN
Iraq,519.83,IRQ
Ireland,0.8,IRL
Israel,3.85,ISR
Italy,0.66,ITA
Jamaica,71.88,JAM
Japan,101.24,JPN
Jordan,0.29,JOR
Kazakhstan,140.8,KAZ
Kenya,43.68,KEN
Kiribati,1.01,KIR
"Korea, Republic of",824.6,KOR
Kosovo,0.33,KSV
Kuwait,0.16,KWT
Kyrgyzstan,18.28,KGZ
Lao People`s Democratic Republic,2887.17,LAO
Latvia,0.49,LVA
Lebanon,1414.98,LBN
Lesotho,5.9,LSO
Liberia,0.43,LBR
Libya,0.48,LBY
Lithuania,0.46,LTU
Luxembourg,0.86,LUX
Macao,5.17,MAC
Madagascar,1156.55,MDG
Malawi,299.9,MWI
Malaysia,1.57,MYS
Maldives,7.92,MDV
Mali,211.42,MLI
Malta,0.58,MLT
Marshall Islands,1,MHL
Mauritania,11.75,MRT
Mauritius,16.54,MUS
Mexico,9.7,MEX
Micronesia,1,FSM
"Moldova, Republic of",6.06,MDA
Mongolia,923.8,MNG
Montenegro,0.34,MNE
Montserrat,1.790446877,MSR
Morocco,3.94,MAR
Mozambique,24.03,MOZ
Myanmar,409.24,MMR
Namibia,7.4,NAM
Nepal,33.52,NPL
Netherlands,0.77,NLD
New Zealand,1.44,NZL
Nicaragua,11.75,NIC
Niger,253.63,NER
Nigeria,144.28,NGA
"North Macedonia, Republic of",18.89,MKD
Norway,10.12,NOR
Oman,0.18,OMN
Pakistan,39.09,PAK
Palau,0.87,PLW
Panama,0.47,PAN
Papua New Guinea,2.23,PNG
Paraguay,2591.04,PRY
Peru,1.8,PER
Philippines,19.51,PHL
Poland,1.79,POL
Portugal,0.57,PRT
Puerto Rico,0.92,PRI
Qatar,2.03,QAT
Romania,1.7,ROU
Russian Federation,24.49,RUS
Rwanda,339.9,RWA
Samoa,1.62,WSM
San Marino,0.67,SMR
São Tomé and Principe,10.94,STP
Saudi Arabia,1.61,SAU
Senegal,241.85,SEN
Serbia,41.68,SRB
Seychelles,7.35,SYC
Sierra Leone,2898.88,SLE
Singapore,0.84,SGP
Slovakia,0.54,SVK
Slovenia,0.56,SVN
Solomon Islands,7.06,SLB
Somalia,9062.77,SOM
South Africa,6.97,ZAF
South Sudan,3.27,SSD
Spain,0.63,ESP
Sri Lanka,51.65,LKA
St. Kitts and Nevis,1.94,KNA
Saint Lucia,1.87,LCA
Saint Vincent and the Grenadines,1.55,VCT
Sudan,22.35,SDN
Suriname,3.91,SUR
Sweden,8.75,SWE
Switzerland,1.14,CHE
"Taiwan, Province of China",15.73037338,TWN
Tajikistan,2.3,TJK
"Tanzania, United Republic of",888.37,TZA
Thailand,12.34,THA
Timor-Leste,0.35,TLS
Togo,236.85,TGO
Tonga,1.6,TON
