country_name,country_code,ppp_2017
Afghanistan,AFG,17.20555805
Albania,ALB,41.23104477
Algeria,DZA,38.85575104
Angola,AGO,92.95172119
Anguilla,AIA,2.294516087
Antigua and Barbuda,ATG,2.093501091
Argentina,ARG,10.25682163
Armenia,ARM,155.9707031
Aruba,ABW,1.35068965
Australia,AUS,1.465823889
Austria,AUT,0.770370245
Azerbaijan,AZE,0.505471647
Bahamas,BHS,0.901406765
Bahrain,BHR,0.187117711
Bangladesh,BGD,29.73817444
Barbados,BRB,2.203005075
Belarus,BLR,0.609042823
Belgium,BEL,0.772879004
Belize,BLZ,1.375065088
Benin,BEN,216.7736053
Bermuda,BMU,1.366415858
Bhutan,BTN,19.20833969
Bolivia,BOL,2.748943567
Bosnia and Herzegovina,BIH,0.676294863
Botswana,BWA,4.733849525
Brazil,BRA,2.18155694
Brunei Darussalam,BRN,0.646853626
Bulgaria,BGR,0.674149573
Burkina Faso,BFA,208.7572021
Burundi,BDI,654.895874
Cabo Verde,CPV,48.47712708
Cambodia,KHM,1428.353516
Cameroon,CMR,232.8013916
Canada,CAN,1.204735875
Cayman Islands,CYM,0.973790824
Central African Republic,CAF,286.8291626
Chad,TCD,243.6545715
Chile,CHL,411.2637634
China,CHN,4.183811188
Colombia,COL,1314.786865
Comoros,COM,190.1259003
"Congo, the Democratic Republic of the",COD,645.390564
Congo,COG,297.6739807
Costa Rica,CRI,350.816864
Cote d`Ivoire,CIV,253.7456055
Croatia,HRV,3.327313423
Curacao,CUW,1.367156506
Cyprus,CYP,0.614919484
Czech Republic,CZE,12.37759209
Denmark,DNK,6.851847172
Djibouti,DJI,106.0227051
Dominica,DMA,1.737537384
Dominican Republic,DOM,21.61327553
Ecuador,ECU,0.534820974
Egypt,EGY,3.266602993
El Salvador,SLV,0.462530196
Equatorial Guinea,GNQ,248.9342957
Eritrea,ERI,5.469904349
Estonia,EST,0.533627331
Eswatini,SWZ,6.205593109
Ethiopia,ETH,8.52085495
Fiji,FJI,0.939006925
Finland,FIN,0.863496065
France,FRA,0.766437829
Gabon,GAB,279.7657166
Gambia,GMB,15.28607559
Georgia,GEO,0.80457169
Germany,DEU,0.740562439
Ghana,GHA,1.763949633
Greece,GRC,0.576064169
Grenada,GRD,1.690312862
Guatemala,GTM,3.932594061
Guinea,GIN,3216.034912
Guinea-Bissau,GNB,222.7485809
Guyana,GUY,105.3527908
Haiti,HTI,28.49839592
Honduras,HND,10.36155891
"Hong Kong SAR, China",HKG,6.011433125
Hungary,HUN,134.3630981
Iceland,ISL,137.1219788
India,IND,20.64779282
Indonesia,IDN,4695.658691
"Iran, Islamic Republic of",IRN,13061.29492
Iraq,IRQ,560.7608032
Ireland,IRL,0.791098773
Israel,ISR,3.745064735
Italy,ITA,0.686535478
Jamaica,JAM,67.58184052
Japan,JPN,105.3789673
Jordan,JOR,0.30033043
Kazakhstan,KAZ,121.2534637
Kenya,KEN,40.18493652
"Korea, Republic of",KOR,871.6958008
Kosovo,KSV,0.340077293
Kuwait,KWT,0.177483991
Kyrgyzstan,KGZ,16.95872307
Lao People`s Democratic Republic,LAO,2789.108643
Latvia,LVA,0.484306574
Lebanon,LBN,734.7758799
Lesotho,LSO,5.505852699
Liberia,LBR,51.95704651
Libya,LBY,0.606110228
Lithuania,LTU,0.441872716
Luxembourg,LUX,0.84444201
Macao,MAC,5.154916286
Madagascar,MDG,1013.434631
Malawi,MWI,251.074234
Malaysia,MYS,1.654786944
Maldives,MDV,8.160779953
Mali,MLI,214.5086823
Malta,MLT,0.577969909
Mauritania,MRT,111.2575836
Mauritius,MUS,16.88220215
Mexico,MEX,8.870941162
"Moldova, Republic of",MDA,5.572401524
Mongolia,MNG,791.4360352
Montenegro,MNE,0.350561798
Montserrat,MSR,1.790446877
Morocco,MAR,4.023440361
Mozambique,MOZ,22.85555267
Myanmar,MMR,366.7132568
Namibia,NAM,7.020597935
Nepal,NPL,31.23498344
Netherlands,NLD,0.778485656
New Zealand,NZL,1.453415751
Nicaragua,NIC,10.80687046
Niger,NER,258.460083
Nigeria,NGA,115.977829
"North Macedonia, Republic of",MKD,19.04306793
Norway,NOR,9.921802521
Oman,OMN,0.200041279
Pakistan,PAK,33.58892059
Panama,PAN,0.497470468
Paraguay,PRY,2534.376709
Peru,PER,1.749454975
Philippines,PHL,19.38501167
Poland,POL,1.737355947
Portugal,PRT,0.574968517
Puerto Rico,PRI,0.905278277
Qatar,QAT,2.345949888
Romania,ROU,1.604423523
Russian Federation,RUS,24.05039978
Rwanda,RWA,325.1262207
San Marino,SMR,0.682678095
São Tomé and Principe,STP,10.05518436
Saudi Arabia,SAU,1.649027228
Senegal,SEN,246.7866669
Serbia,SRB,40.7952919
Seychelles,SYC,7.968673229
Sierra Leone,SLE,2244.994629
Singapore,SGP,0.885979891
Sint Maarten (Dutch part),SXM,1.386570692
Slovakia,SVK,0.502764702
Slovenia,SVN,0.567600548
Somalia,SOM,8229.531086
South Africa,ZAF,6.426701069
South Sudan,SSD,35.50490686
Spain,ESP,0.630102515
Sri Lanka,LKA,49.39013672
St. Kitts and Nevis,KNA,2.039764404
Saint Lucia,LCA,1.995760322
Saint Vincent and the Grenadines,VCT,1.590442538
Sudan,SDN,4.618968964
Suriname,SUR,2.578214407
Sweden,SWE,8.719467163
Switzerland,CHE,1.179916263
"Taiwan, Province of China",TWN,15.73037338
Tajikistan,TJK,2.230570078
"Tanzania, United Republic of",TZA,885.0828857
Thailand,THA,12.84471607
Timor-Leste,TLS,0.40896954
Togo,TGO,239.7217255
Trinidad and Tobago,TTO,4.162451744
Tunisia,TUN,0.794180155
Turkey,TUR,1.373044252
Turkmenistan,TKM,1.623004652
Turks and Caicos Islands,TCA,1.017905712
Uganda,UGA,1270.608398
Ukraine,UKR,5.916288712
United Arab Emirates,ARE,2.221791983
United Kingdom,GBR,0.682132483
United States,USA,1
Uruguay,URY,23.29380608
Uzbekistan,UZB,1432.907178
Viet Nam,VNM,7395.338379
"Virgin Islands, British",VGB,1.068778515
West Bank and Gaza,PSE,2.035647631
Zambia,ZMB,4.192580223
Zimbabwe,ZWE,0.511243165
